Device,Trip,starttime,Time,LaneDistanceRight,Flying_Overtake
10173,122,195440,10,0.4570313,0
10173,122,195440,20,0.5429688,0
10173,122,195440,30,0.6328125,0
10173,122,195440,40,0.8632813,0
10173,122,195440,50,0.9335938,0
10173,122,195440,60,1.007813,0
10173,122,195440,70,1.085938,0
10173,122,195440,80,1.210938,0
10173,122,195440,90,1.277344,0
10173,122,195440,100,1.355469,0
10173,122,195440,110,1.421875,0
10173,122,195440,120,1.578125,0
10173,122,195440,130,1.640625,0
10173,122,195440,140,1.75,0
10173,122,195440,150,1.8125,0
10173,122,195440,160,1.945313,0
10173,122,195440,170,1.992188,0
10173,122,195440,180,2.035156,0
10173,122,195440,190,2.066406,0
10173,122,195440,200,2.089844,0
10173,122,195440,210,2.148438,0
10173,122,195440,220,2.144531,0
10173,122,195440,230,2.183594,0
10173,122,195440,240,2.210938,0
10173,122,195440,250,2.226563,0
10173,122,195440,260,2.230469,0
10173,122,195440,270,2.238281,0
10173,122,195440,280,2.265625,0
10173,122,195440,290,2.292969,0
10173,122,195440,300,2.292969,0
10173,122,195440,310,2.292969,0
10173,122,195440,320,2.28125,0
10173,122,195440,330,2.242188,0
10173,122,195440,340,2.246094,0
10173,122,195440,350,2.289063,0
10173,122,195440,360,2.273438,0
10173,122,195440,370,2.277344,0
10173,122,195440,380,2.273438,0
10173,122,195440,390,2.265625,0
10173,122,195440,400,2.246094,0
10173,122,195440,410,2.242188,0
10173,122,195440,420,2.234375,0
10173,122,195440,430,2.242188,0
10173,122,195440,440,2.234375,0
10173,122,195440,450,2.230469,0
10173,122,195440,460,2.207031,0
10173,122,195440,470,2.199219,0
10173,122,195440,480,2.183594,0
10173,122,195440,490,2.175781,0
10173,122,195440,500,2.167969,0
10173,122,195440,510,2.160156,0
10173,122,195440,520,2.152344,0
10173,122,195440,530,2.132813,0
10173,122,195440,540,2.140625,0
10173,122,195440,550,2.136719,0
10173,122,195440,560,2.144531,0
10173,122,195440,570,2.140625,0
10173,122,195440,580,2.140625,0
10173,122,195440,590,2.136719,0
10173,122,195440,600,2.140625,0
10173,122,195440,610,2.128906,0
10173,122,195440,620,2.109375,0
10173,122,195440,630,2.101563,0
10173,122,195440,640,2.085938,0
10173,122,195440,650,2.066406,0
10173,122,195440,660,2.050781,0
10173,122,195440,670,2.03125,0
10173,122,195440,680,2.023438,0
10173,122,195440,690,2.015625,0
10173,122,195440,700,2.011719,0
10173,122,195440,710,2,0
10173,122,195440,720,2,0
10173,122,195440,730,2,0
10173,122,195440,740,1.992188,0
10173,122,195440,750,2.019531,0
10173,122,195440,760,2.015625,0
10173,122,195440,770,2,0
10173,122,195440,780,2,0
10173,122,195440,790,2.003906,0
10173,122,195440,800,1.980469,0
10173,122,195440,810,1.976563,0
10173,122,195440,820,1.964844,0
10173,122,195440,830,1.96875,0
10173,122,195440,840,1.964844,0
10173,122,195440,850,1.964844,0
10173,122,195440,860,1.949219,0
10173,122,195440,870,1.933594,0
10173,122,195440,880,1.921875,0
10173,122,195440,890,1.90625,0
10173,122,195440,900,1.886719,0
10173,122,195440,910,1.867188,0
10173,122,195440,920,1.851563,0
10173,122,195440,930,1.835938,0
10173,122,195440,940,1.753906,0
10173,122,195440,950,1.734375,0
10173,122,195440,960,1.773438,0
10173,122,195440,970,1.730469,0
10173,122,195440,980,1.710938,0
10173,122,195440,990,1.675781,0
10173,122,195440,1000,1.640625,0
10173,122,195440,1010,1.609375,0
10173,122,195440,1020,1.582031,0
10173,122,195440,1030,1.570313,0
10173,122,195440,1040,1.5625,0
10173,122,195440,1050,1.53125,0
10173,122,195440,1060,1.527344,0
10173,122,195440,1070,1.515625,0
10173,122,195440,1080,1.511719,0
10173,122,195440,1090,1.5,0
10173,122,195440,1100,1.492188,0
10173,122,195440,1110,1.5,0
10173,122,195440,1120,1.507813,0
10173,122,195440,1130,1.515625,0
10173,122,195440,1140,1.53125,0
10173,122,195440,1150,1.542969,0
10173,122,195440,1160,1.554688,0
