"","ID","variable","value"
"1",3790130470389,"x",0
"2",3790140828775,"x",0
"3",3790150748931,"x",0
"4",3790160767733,"x",-0.0048844446
"5",3790173233567,"x",0.0024422223
"6",3790180284139,"x",0.02075889
"7",3790190046379,"x",0.03052778
"8",3790200406744,"x",0.018316668
"9",3790210340858,"x",-0.017095556
"10",3790220268983,"x",-0.048844445
"11",3790230194869,"x",-0.07326667
"12",3790239732056,"x",-0.070824444
"13",3790249627369,"x",-0.064718895
"14",3790260636014,"x",-0.078151114
"15",3790272305598,"x",-0.09524667
"16",3790280443150,"x",-0.10135223
"17",3790289633202,"x",-0.09768889
"18",3790299453931,"x",-0.08303556
"19",3790309413358,"x",-0.07204556
"20",3790319175025,"x",-0.068382226
"21",3790329144191,"x",-0.06105556
"22",3790339240181,"x",-0.09036223
"23",3790349258879,"x",-0.12089001
"24",3790359262056,"x",-0.13432223
"25",3790371421431,"x",-0.11844778
"26",3790379080389,"x",-0.09646778
"27",3790388796639,"x",-0.081814446
"28",3790398722837,"x",-0.078151114
"29",3790408769660,"x",-0.106236674
"30",3790418795546,"x",-0.13920668
"31",3790428352056,"x",-0.18072446
"32",3790438655077,"x",-0.20881
"33",3790448327421,"x",-0.21735778
"34",3790458509504,"x",-0.19415668
"35",3790471214400,"x",-0.18683001
"36",3790477940910,"x",-0.17339778
"37",3790488291066,"x",-0.19171445
"38",3790498043983,"x",-0.21735778
"39",3790508157212,"x",-0.22102112
"40",3790518077577,"x",-0.22590557
"41",3790528001535,"x",-0.21980001
"42",3790537695181,"x",-0.21491556
"43",3790547588514,"x",-0.21491556
"44",3790557364035,"x",-0.24178001
"45",3790570441535,"x",-0.29062447
"46",3790577432160,"x",-0.3284789
"47",3790587270962,"x",-0.34679556
"48",3790597113358,"x",-0.31504667
"49",3790607286066,"x",-0.2503278
"50",3790617137525,"x",-0.19537778
"51",3790627452577,"x",-0.19782001
"52",3790637123723,"x",-0.2075889
"53",3790646908775,"x",-0.26009667
"54",3790657031743,"x",-0.35656446
"55",3790669603150,"x",-0.47867557
"56",3790676682681,"x",-0.44326335
"57",3790686830806,"x",-0.36267
"58",3790696637473,"x",-0.29306668
"59",3790706288358,"x",-0.2613178
"60",3790716607837,"x",-0.28085557
